Borough,Total Daytime Population,Workday Population
City of London,553103.00,431384.00
Barking and Dagenham,178326.00,164584.00
Barnet,356003.00,331094.00
Bexley,211551.00,194807.00
Brent,293859.00,274896.00
Bromley,303344.00,271896.00
Camden,495332.00,434279.00
Croydon,349228.00,314819.00
Ealing,327625.00,305316.00
Enfield,307478.00,277637.00
Greenwich,254966.00,220356.00
Hackney,263165.00,240792.00
Hammersmith and Fulham,230481.00,202214.00
Haringey,225474.00,209884.00
Harrow,229311.00,204423.00
Havering,224208.00,203607.00
Hillingdon,357295.00,327032.00
Hounslow,290709.00,271872.00
Islington,328050.00,297460.00
Kensington and Chelsea,252831.00,196892.00
Kingston upon Thames,166161.00,149874.00
Lambeth,297502.00,269981.00
Lewisham,228779.00,207571.00
Merton,193873.00,178645.00
Newham,306102.00,274935.00
Redbridge,253605.00,237756.00
Richmond upon Thames,189731.00,170578.00
Southwark,417029.00,382582.00
Sutton,177745.00,162405.00
Tower Hamlets,396939.00,367677.00
Waltham Forest,222765.00,210365.00
Wandsworth,266496.00,238102.00
Westminster,897293.00,721351.00
