,Borough,Major Class Description,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109
0,Aviation Security(SO18),Burglary,2,6,0,2,4,0,0,0,0,0,0,0,2,2,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Aviation Security(SO18),Criminal Damage,24,10,22,10,12,8,2,2,4,2,4,10,12,6,8,6,4,0.0,8.0,2.0,4.0,8.0,10.0,6.0
2,Aviation Security(SO18),Drugs,6,4,8,6,8,8,6,2,2,6,4,4,10,8,2,0,0,8.0,0.0,2.0,6.0,4.0,4.0,2.0
3,Aviation Security(SO18),Fraud or Forgery,0,0,0,2,0,2,0,0,2,2,2,2,2,2,0,2,0,2.0,0.0,0.0,2.0,2.0,0.0,2.0
4,Aviation Security(SO18),Other Notifiable Offences,212,176,232,158,138,134,16,16,20,48,44,74,56,46,78,40,32,32.0,38.0,68.0,80.0,118.0,128.0,132.0
5,Aviation Security(SO18),Robbery,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Aviation Security(SO18),Sexual Offences,10,2,2,6,2,0,0,4,0,0,0,4,6,0,4,0,2,0.0,2.0,2.0,0.0,2.0,4.0,4.0
7,Aviation Security(SO18),Theft and Handling,184,186,182,176,252,232,36,16,46,28,36,78,80,70,84,60,34,52.0,46.0,38.0,44.0,80.0,68.0,116.0
8,Aviation Security(SO18),Violence Against the Person,62,46,70,60,44,42,10,12,8,14,12,22,22,6,24,28,22,10.0,6.0,22.0,12.0,30.0,30.0,50.0
9,Barking and Dagenham,Burglary,35,35,27,37,21,31,29,17,20,31,26,32,23,20,27,21,21,16.0,17.0,33.0,24.0,22.0,30.0,29.0
10,Barking and Dagenham,Criminal Damage,37,35,32,30,32,34,16,22,39,29,32,42,44,27,24,34,22,23.0,30.0,45.0,51.0,37.0,40.0,33.0
11,Barking and Dagenham,Drugs,23,29,31,26,32,28,37,53,47,28,27,31,34,42,18,18,28,36.0,28.0,28.0,38.0,38.0,32.0,44.0
12,Barking and Dagenham,Fraud or Forgery,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,2,0.0,2.0,0.0,0.0,1.0,1.0,0.0
13,Barking and Dagenham,Other Notifiable Offences,5,6,7,5,5,3,6,2,11,12,3,12,5,12,4,1,4,7.0,7.0,11.0,5.0,5.0,1.0,6.0
14,Barking and Dagenham,Robbery,50,28,29,37,26,39,18,16,15,25,19,27,42,23,19,14,19,30.0,21.0,20.0,21.0,18.0,15.0,25.0
15,Barking and Dagenham,Sexual Offences,18,11,10,13,8,10,2,7,4,10,7,9,24,11,1,4,2,11.0,7.0,10.0,12.0,6.0,5.0,16.0
16,Barking and Dagenham,Theft and Handling,268,263,230,259,251,284,138,158,177,205,212,237,202,233,183,199,162,189.0,216.0,209.0,217.0,201.0,214.0,210.0
17,Barking and Dagenham,Violence Against the Person,166,148,143,113,117,144,79,98,113,113,110,121,131,150,112,91,106,106.0,111.0,147.0,164.0,187.0,113.0,142.0
18,Barnet,Burglary,68,57,70,69,55,66,48,39,47,50,41,57,68,55,40,53,38,57.0,55.0,31.0,57.0,45.0,47.0,41.0
19,Barnet,Criminal Damage,57,63,68,63,59,64,45,38,57,40,67,49,61,38,44,36,37,57.0,46.0,56.0,58.0,58.0,39.0,48.0
20,Barnet,Drugs,15,19,17,30,33,29,27,36,24,33,34,14,29,36,32,9,24,21.0,30.0,28.0,26.0,20.0,25.0,25.0
21,Barnet,Fraud or Forgery,1,1,1,3,0,2,1,2,3,0,0,1,1,1,1,1,1,1.0,1.0,0.0,1.0,3.0,1.0,0.0
22,Barnet,Other Notifiable Offences,12,12,6,6,9,9,3,10,11,16,2,11,6,9,8,8,9,19.0,33.0,21.0,22.0,16.0,13.0,16.0
23,Barnet,Robbery,61,89,64,57,79,47,10,20,30,31,37,21,25,30,27,15,17,24.0,26.0,19.0,23.0,24.0,24.0,39.0
24,Barnet,Sexual Offences,14,13,12,6,10,9,7,8,9,13,11,10,15,12,17,6,8,17.0,22.0,26.0,26.0,10.0,8.0,20.0
25,Barnet,Theft and Handling,513,522,527,526,488,398,192,245,350,422,393,415,404,371,372,224,242,272.0,316.0,349.0,386.0,351.0,329.0,338.0
26,Barnet,Violence Against the Person,207,258,227,263,231,205,133,139,173,191,181,207,188,212,197,124,139,213.0,192.0,251.0,239.0,193.0,181.0,214.0
